OBJECTID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Tract,Tract_Area,tract_t,Lat,Long,OBJECTID,Tract_1,ZIP,Population,CIscore,CIscoreP,Ozone,Ozone_Pctl,PM2_5,PM2_5_Pctl,Diesel_PM,Diesel_PM_Pctl,Pesticides,Pesticides_Pctl,Tox_Releases,Tox_Releases_Pctl,Traffic,Traffic_Pctl,Drinking_Water,DrinkingWaterPctl,Lead,Lead_Pctl,Cleanups,Cleanups_Pctl,GroundwaterThreats,GW_Threats_Pctl,Haz_Waste,Haz_Waste_Pctl,Imp_Water_Bodies,ImpWaterBodPctl,Solid_Waste,Solid_Waste_Pctl,Pollution,PollutionScore,Pollution_Pctl,Asthma,Asthma_Pctl,Low_Birth_Weight,LowBirthW_Pctl,Cardiovascular,Cardiovasc_Pctl,Education,Education_Pctl,Ling_Isol,Ling_Isol_Pctl,Poverty,Poverty_Pctl,Unemployment,Unemploy_Pctl,HousBurd,HousBurd_Pctl,PopChar,PopCharScore,PopCharP,Child_10,Pop_10_64,Elderly_65,Hispanic,White,African_American,Native_American,Asian_American,Pacific_Islander,Other_Multiple,County,ApproxLoc,DAC_category,OBJECTID_12,MHI_2019_5YR,Avg_hshld_size,HCD_Low_2021,HCD_Moderate_2021,State_MHI_2019,State_MHI_Percent,Income_Group,DAC_and_or_LIC,Shape__Area,Shape__Length
11,06,077,002100,06077002100,21,Census Tract 21,G5020,S,3312527,0,+37.9376415,-121.2438699,6077002100,3312524,6077002100,-8035.31701915301,-109172.710742296,659,6077002100,95205,5727,49.85881495,87.68280383,0.04632538,46.9943995,11.53830357,61.72993155,0.169349925,56.10454263,4.975181027,54.34482759,296.0523326,41.53538385,886.4130596,50.45,737.9336208,84.575996,54.25753501,57.59294266,0,0,10.5,48.48082351,0.225,39.77498345,4,43.78412432,2.5,59.17525773,50.52501458,6.169094245,71.72370877,78.47,84.4217348,5.18,57.09520144,17.97,80.59571286,42.3,91.60971906,16.9,81.18825281,57.5,89.66080402,13.6,95.11972931,17.4,51.35614702,77.91224007,8.082031652,90.16641452,17.7754,73.5289,8.6957,73.5289,2.3049,14.7197,0,8.6957,0,0.7508,San Joaquin,Stockton,CalEnviroScreen 4.0 Top 25%,6559,"$40,544",4,"$60,000","$90,000",75235,53.89%,Low,Yes,3312523.61304718,7422.25600089519
12,06,077,002300,06077002300,23,Census Tract 23,G5020,S,2082728,0,+37.9292396,-121.2784070,6077002300,2082729,6077002300,-8928.92241395336,-112216.398709765,637,6077002300,95206,4334,63.15508978,97.1633888,0.04632538,46.9943995,11.55212827,62.15308027,0.402672709,85.05289359,0.699005709,40.55172414,469.0310059,50.35008752,405.5401491,14.5375,389.8465692,41.55114275,87.71885182,95.27410208,9.15,58.58529302,34.1,82.66644529,0.46,66.60489742,12,90.1301974,2.6,59.42726231,60.19968385,7.350369441,91.15121344,100.34,92.69690927,5.7,68.86066205,19.92,87.20089731,42.6,91.88812959,20.4,87.21071864,64.4,94.64824121,8.2,76.69182717,20.1,63.25728771,82.8293652,8.592097348,95.13363591,17.6973,72.4965,9.8062,79.7185,3.2303,4.2916,0,10.3599,0.0231,2.3766,San Joaquin,Stockton,CalEnviroScreen 4.0 Top 25%,6560,"$39,423",3,"$54,000","$81,000",75235,52.40%,Low,Yes,2082729.30912775,8475.99711022009
13,06,071,004201,06071004201,42.01,Census Tract 42.01,G5020,S,3087820,268850,+34.1272440,-117.3315656,6071004201,3356672,6071004201,-428506.312264579,246085.609502377,812,6071004201,92411,6943,54.85642107,92.42309632,0.07156633,99.0665837,11.52813218,61.45612943,0.152357584,51.81082763,0,0,933.1739908,62.62815704,962.8258803,55.8125,447.1971298,53.72798801,68.74916278,77.44171393,13.65,72.60171706,3,22.11522497,0.32,52.64063534,0,0,2,52.89805269,51.84570032,6.33034971,75.20846297,125.36,96.6226321,7.4,93.14857583,19.2,84.89531406,36.2,86.4717793,9.5,59.79158208,52.1,84.33417085,8.3,77.09526288,21.8,69.9112801,83.53816119,8.665622529,95.61270802,17.8453,71.0212,11.1335,62.1777,3.86,25.1188,0,6.2077,0,2.6357,San Bernardino,San Bernardino,CalEnviroScreen 4.0 Top 25%,5564,"$50,779",4,"$63,200","$93,000",75235,67.49%,Low,Yes,3356672.08950043,8246.26360167397
14,06,071,004202,06071004202,42.02,Census Tract 42.02,G5020,S,1814584,0,+34.1259545,-117.3182081,6071004202,1814588,6071004202,-428696.582590546,247328.562204503,811,6071004202,92411,5704,51.13355702,89.04437721,0.073132,100,11.47625577,60.47293093,0.287341467,75.04667082,0,0,859.0549875,61.52788197,747.0088966,40.0875,404.5781915,44.11140252,94.03078899,99.15563957,15.45,75.38260545,0.75,4.416403785,0.41,62.475182,0,0,0.7,24.83390607,51.17404197,6.24834036,73.19228376,145.12,98.65403789,6.71,86.75904542,21.57,92.55982054,42.8,92.11592002,14.5,76.07254026,64.7,94.77386935,4.5,37.71473191,12.3,24.94296578,78.89082004,8.183542201,91.41452345,19.6879,70.0035,10.3086,75.6136,2.6297,16.3043,0.1928,3.033,1.4201,0.8065,San Bernardino,San Bernardino,CalEnviroScreen 4.0 Top 25%,5565,"$40,455",4,"$63,200","$93,000",75235,53.77%,Low,Yes,1814587.73907471,6099.33975291967
15,06,071,004401,06071004401,44.01,Census Tract 44.01,G5020,S,1786132,0,+34.0941764,-117.3529084,6071004401,1786134,6071004401,-432310.475499936,244227.577944528,813,6071004401,92376,4284,41.26576465,77.01714574,0.07000067,98.66832607,11.76292964,68.31362788,0.115771818,42.09085252,0,0,1030.786977,64.20355089,666.4146482,33.4125,718.4182286,78.76857749,54.37788421,57.74417139,12,68.94363568,0,0,0.135,23.71939113,0,0,0,0,43.11100231,5.263844819,51.88550093,66.79,75.89730808,7.27,92.27610983,19.48,85.78015952,34,84.32042521,7.9,52.88943023,47.1,78.63065327,10.6,88.40447683,13,28.2382763,75.57392242,7.83947211,87.36762481,12.1148,79.9953,7.8898,84.8039,10.7143,2.591,0,1.3305,0.5602,0,San Bernardino,San Bernardino,CalEnviroScreen 4.0 Top 25%,5566,"$46,470",4,"$63,200","$93,000",75235,61.77%,Low,Yes,1786133.77870178,6844.20037254906
16,06,001,433200,06001433200,4332,Census Tract 4332,G5020,S,3174901,0,+37.7017500,-122.1470770,6001433200,3174905,6001433200,-32834.2833740394,-189029.043161164,1014,6001433200,94578,7991,43.01922814,79.52597075,0.03304924,7.517112632,8.676042456,28.98568762,0.684583263,95.02177971,0,0,465.7166646,50.17504376,2726.551899,94.2875,110.4123824,4.208817285,74.99101621,84.68809074,34,90.14557671,35.3,83.39697825,0.79,81.05890139,1,12.45275094,8,86.50630011,53.97770314,6.590666832,80.24891101,89.69,89.48155533,5.09,54.84988453,14.44,63.04835494,19.8,64.51531258,18.2,83.8408445,40.7,70.12562814,4,30.88235294,14.2,34.24588086,62.92430103,6.527295226,70.08320726,15.4048,73.1823,11.4128,28.6572,17.4697,12.1136,0.4755,36.441,0.3129,4.5301,Alameda ,San Leandro,CalEnviroScreen 4.0 Top 25%,280,"$58,521",3,"$98,650","$135,650",75235,77.78%,Low,Yes,3174904.98821974,9582.6115281631
17,06,077,002701,06077002701,27.01,Census Tract 27.01,G5020,S,4137641,0,+37.9648258,-121.2359883,6077002701,4137645,6077002701,-5022.632121827,-108441.599339922,648,6077002701,95215,6246,55.66275229,92.99041856,0.04632538,46.9943995,11.31312049,58.04604854,0.300408207,76.52769135,101.3392865,77.20689655,218.75,36.09652413,1411.955858,75.7375,527.0594756,62.93243412,80.66071486,89.85507246,24,85.62896603,43.3,87.56433671,0.21,37.68365321,1,12.45275094,0,0,58.50502768,7.143452259,88.74922215,55.45,63.3225324,4.94,50.71850141,21,90.35393819,49.2,96.11490762,23.1,90.33698741,60,91.6080402,12,92.19156689,15.3,40.2661597,75.11759485,7.792136109,86.80030257,18.3157,74.928,6.7563,77.1053,18.5559,2.1134,0.1281,1.7291,0.3682,0,San Joaquin,Garden Acres,CalEnviroScreen 4.0 Top 25%,6561,"$38,355",4,"$60,000","$90,000",75235,50.98%,Low,Yes,4137644.96625677,11090.4999053905
18,06,077,002702,06077002702,27.02,Census Tract 27.02,G5020,S,2556130,0,+37.9618697,-121.2192849,6077002702,2556131,6077002702,-5370.19135059812,-106980.406620492,647,6077002702,95215,3726,42.03052831,78.11396873,0.04632538,46.9943995,11.09262593,55.6316117,0.080130968,29.90665837,78.9651498,75.44827586,203.7866669,35.07126782,209.0797929,4.425,389.8465692,41.55114275,70.97408747,80.28985507,18.5,80.25382605,7.5,39.44877968,0.125,21.95896757,3,33.15833683,0,0,42.43117827,5.180838438,49.83198507,57.92,66.67497507,5.71,69.15576084,22.54,94.27966102,54.4,98.11440142,17,81.35065638,53.6,85.67839196,11.7,91.55387819,15.6,41.86311787,78.2077774,8.112688479,90.58245083,13.6876,73.8325,12.4799,84.6753,13.2045,0,0.8857,0.2684,0,0.9662,San Joaquin,Garden Acres,CalEnviroScreen 4.0 Top 25%,6562,"$45,407",4,"$60,000","$90,000",75235,60.35%,Low,Yes,2556130.53505516,7200.23630329946
19,06,077,003113,06077003113,31.13,Census Tract 31.13,G5020,S,2043838,24983,+37.9837518,-121.3238842,6077003113,2068820,6077003113,-2731.20485616588,-116200.419639295,636,6077003113,95207,6844,51.77743027,89.76298538,0.04588368,44.97822029,10.99802398,54.90976976,0.337153077,80.0497822,0.430570525,36.5862069,189.2163289,33.58339585,1230.782281,69.85,761.6436757,86.63669289,37.90950375,34.16509137,1,17.07726764,8.4,41.59056948,0.285,47.41230973,12,90.1301974,0,0,49.81061955,6.081866754,69.85687617,86.65,88.54685942,7.28,92.35309212,15.1,66.86191426,24,71.32371552,10.1,62.24116931,57.7,89.87437186,12.9,94.09161895,29.8,90.24081115,82.07081298,8.513410827,94.55370651,15.6049,74.1233,10.2718,36.543,20.1052,17.0076,0.8621,22.4868,0.0584,2.9369,San Joaquin,Stockton,CalEnviroScreen 4.0 Top 25%,6563,"$36,839",3,"$54,000","$81,000",75235,48.97%,Low,Yes,2068820.18424398,7904.43839347089
20,06,001,437200,06001437200,4372,Census Tract 4372,G5020,S,2554599,0,+37.6431726,-122.1115983,6001437200,2554603,6001437200,-39414.6444691493,-186051.032391754,1011,6001437200,94545,7489,33.99274902,65.78416541,0.03419029,10.56627256,8.669022643,28.72433105,0.311696428,77.66023647,0,0,1468.906657,72.69317329,1289.714888,71.925,186.662033,6.744098913,51.12817664,53.05608066,15.65,75.66256066,45.35,88.37788478,1.815,91.95234944,0,0,1.5,42.31386025,46.66787642,5.698138441,61.33167393,94.53,91.1889332,4.61,41.46779574,18.09,80.95712861,12.3,49.19007846,7,48.72107186,19.5,33.20351759,5.4,49.85684539,14.9,38.09885932,57.50934685,5.965588477,61.71205245,10.4954,72.533,16.9716,27.9744,18.0932,5.5281,0.8946,38.9638,2.5638,5.9821,Alameda ,Hayward,CalEnviroScreen 3.0 Disadvantaged Communities Only,281,"$91,618",3,"$98,650","$135,650",75235,121.78%,Low,Yes,2554602.63485479,6574.68394796118
